Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Stock,Backorders allowed?,Sold individually?,Allow customer reviews?,Regular price,Categories,Tags,Images,Parent,Position,Meta: androapp_post_notify,Meta: pageview,Meta: _has_multi_vendor,Meta: fb_product_group_id,Meta: fb_visibility,Meta: fb_product_item_id,Meta: inactive_product_flag,Meta: pi_dcw_product_redirect,Meta: pi_dcw_product_overwrite_global,Meta: _per_product_admin_commission_type,Meta: _yoast_wpseo_primary_product_cat,Meta: _wpas_skip_22259777,Meta: _yoast_wpseo_content_score,Meta: _wpas_skip_22522829,Meta: _wpas_skip_22590529,Meta: _wpas_skip_23171279,Meta: _yoast_wpseo_metadesc,Meta: _yoast_wpseo_focuskw,Meta: _yoast_wpseo_linkdex,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _lot_discount_quantity,Meta: _lot_discount_amount,Meta: _is_lot_discount,Meta: _disable_shipping,Meta: _overwrite_shipping,Meta: _publicize_twitter_user,Meta: _wpas_done_all,Meta: _yoast_wpseo_title
simple,مونت مارتي-1-1,"انبوبة اكريليك من مونت مارتي 75 مللي - 0048, ياقوت ازرق لؤلؤي",1,0,visible,"انبوبة اكريليك من مونت مارتي 75 مللي - 0048, ياقوت ازرق لؤلؤي","انبوبة اكريليك من مونت مارتي 75 مللي - 0048, ياقوت ازرق لؤلؤي",taxable,1,,0,0,1,80,الوان اكريليك,#acrylic,https://our-arts.com/wp-content/uploads/products/aristo/item_XL_41518628_8d05cc8dc58dc.jpg,,0,off,,,,,,,,,,,,,,,,"انبوبة اكريليك من مونت مارتي 75 مللي - 0048, ياقوت ازرق لؤلؤي","انبوبة اكريليك من مونت مارتي 75 مللي - 0048, ياقوت ازرق لؤلؤي",,,,,,,,,,,,,%%title%% %%page%% %%sep%% %%sitename%%
simple,مونت مارتي-1-2,"انبوبة اكريليك من مونت مارتي 75 مللي - 0048, ياقوت ازرق لؤلؤي",1,0,visible,"انبوبة اكريليك من مونت مارتي 75 مللي - 0048, ياقوت ازرق لؤلؤي","انبوبة اكريليك من مونت مارتي 75 مللي - 0048, ياقوت ازرق لؤلؤي",taxable,1,,0,0,1,80,الوان اكريليك,#acrylic,https://our-arts.com/wp-content/uploads/products/aristo/item_XL_41518628_8d05cc8dc58dc.jpg,,0,off,,,,,,,,,,,,,,,,"انبوبة اكريليك من مونت مارتي 75 مللي - 0048, ياقوت ازرق لؤلؤي","انبوبة اكريليك من مونت مارتي 75 مللي - 0048, ياقوت ازرق لؤلؤي",,,,,,,,,,,,,%%title%% %%page%% %%sep%% %%sitename%%
simple,478952,طقم 24 لون اكريليك من ستيدلر,1,0,visible,طقم 24 لون اكريليك من ستيدلر,طقم 24 لون اكريليك من ستيدلر,taxable,1,,0,0,1,499,الوان اكريليك,#acrylic,https://our-arts.com/wp-content/uploads/products/aristo/item_XL_122786285_83a50b1b8dca2.jpg,,0,off,,,,,,,,,,,,,,,,طقم 24 لون اكريليك من ستيدلر,طقم 24 لون اكريليك من ستيدلر,,,,,,,,,,,,,%%title%% %%page%% %%sep%% %%sitename%%
simple,897451,طقم 12 لون اكريليك من ستيدلر,1,0,visible,طقم 12 لون اكريليك من ستيدلر,طقم 12 لون اكريليك من ستيدلر,taxable,1,,0,0,1,250,الوان اكريليك,#acrylic,https://our-arts.com/wp-content/uploads/products/aristo/item_XL_122786154_0c5fb562e6abb.jpg,,0,off,,,,,,,,,,,,,,,,طقم 12 لون اكريليك من ستيدلر,طقم 12 لون اكريليك من ستيدلر,,,,,,,,,,,,,%%title%% %%page%% %%sep%% %%sitename%%
simple,مونت مارتي-1,"انبوبة اكريليك من مونت مارتي 75 مللي - 0048, ياقوت ازرق لؤلؤي",1,0,visible,"انبوبة اكريليك من مونت مارتي 75 مللي - 0048, ياقوت ازرق لؤلؤي","انبوبة اكريليك من مونت مارتي 75 مللي - 0048, ياقوت ازرق لؤلؤي",taxable,1,,0,0,1,80,الوان اكريليك,#acrylic,https://our-arts.com/wp-content/uploads/products/aristo/item_XL_41518628_8d05cc8dc58dc.jpg,,0,off,,,,,,,,,,,,,,,,"انبوبة اكريليك من مونت مارتي 75 مللي - 0048, ياقوت ازرق لؤلؤي","انبوبة اكريليك من مونت مارتي 75 مللي - 0048, ياقوت ازرق لؤلؤي",,,,,,,,,,,,,%%title%% %%page%% %%sep%% %%sitename%%
simple,مونت مارتي-2,"انبوبة اكريليك من مونت مارتي 75 مللي - 0025, فيريديان",1,0,visible,"انبوبة اكريليك من مونت مارتي 75 مللي - 0025, فيريديان","انبوبة اكريليك من مونت مارتي 75 مللي - 0025, فيريديان",taxable,1,,0,0,1,70,الوان اكريليك,#acrylic,https://our-arts.com/wp-content/uploads/products/aristo/item_XL_41518636_033a8e8d026d8.jpg,,0,off,,,,,,,,,,,,,,,,"انبوبة اكريليك من مونت مارتي 75 مللي - 0025, فيريديان","انبوبة اكريليك من مونت مارتي 75 مللي - 0025, فيريديان",,,,,,,,,,,,,%%title%% %%page%% %%sep%% %%sitename%%
simple,مونت مارتي-3,"انبوبة اكريليك من مونت مارتي 75 مللي - 0009, ازو فريمليون",1,0,visible,"انبوبة اكريليك من مونت مارتي 75 مللي - 0009, ازو فريمليون","انبوبة اكريليك من مونت مارتي 75 مللي - 0009, ازو فريمليون",taxable,1,,0,0,1,80,الوان اكريليك,#acrylic,https://our-arts.com/wp-content/uploads/products/aristo/item_XL_41518709_5288418cb2efb.jpg,,0,off,,,,,,,,,,,,,,,,"انبوبة اكريليك من مونت مارتي 75 مللي - 0009, ازو فريمليون","انبوبة اكريليك من مونت مارتي 75 مللي - 0009, ازو فريمليون",,,,,,,,,,,,,%%title%% %%page%% %%sep%% %%sitename%%
simple,مونت مارتي-4,"انبوبة اكريليك من مونت مارتي 75 مللي - 0047, بنفسجي لؤلؤي",1,0,visible,"انبوبة اكريليك من مونت مارتي 75 مللي - 0047, بنفسجي لؤلؤي","انبوبة اكريليك من مونت مارتي 75 مللي - 0047, بنفسجي لؤلؤي",taxable,1,,0,0,1,80,الوان اكريليك,#acrylic,https://our-arts.com/wp-content/uploads/products/aristo/item_XL_41518608_74d232be073a8.jpg,,0,off,,,,,,,,,,,,,,,,"انبوبة اكريليك من مونت مارتي 75 مللي - 0047, بنفسجي لؤلؤي","انبوبة اكريليك من مونت مارتي 75 مللي - 0047, بنفسجي لؤلؤي",,,,,,,,,,,,,%%title%% %%page%% %%sep%% %%sitename%%
simple,مونت مارتي-5,"انبوبة اكريليك من مونت مارتي 75 مللي - 0031, اخضر اوليف",1,0,visible,"انبوبة اكريليك من مونت مارتي 75 مللي - 0031, اخضر اوليف","انبوبة اكريليك من مونت مارتي 75 مللي - 0031, اخضر اوليف",taxable,1,,0,0,1,80,الوان اكريليك,#acrylic,https://our-arts.com/wp-content/uploads/products/aristo/item_XL_41518598_4c7282ff88855.jpg,,0,off,,,,,,,,,,,,,,,,"انبوبة اكريليك من مونت مارتي 75 مللي - 0031, اخضر اوليف","انبوبة اكريليك من مونت مارتي 75 مللي - 0031, اخضر اوليف",,,,,,,,,,,,,%%title%% %%page%% %%sep%% %%sitename%%
simple,مونت مارتي-6,"انبوبة اكريليك من مونت مارتي 75 مللي - 0039, رمادي نيوترال",1,0,visible,"انبوبة اكريليك من مونت مارتي 75 مللي - 0039, رمادي نيوترال","انبوبة اكريليك من مونت مارتي 75 مللي - 0039, رمادي نيوترال",taxable,1,,0,0,1,80,الوان اكريليك,#acrylic,https://our-arts.com/wp-content/uploads/products/aristo/item_XL_41518597_6942a81b0e2c1.jpg,,0,off,,,,,,,,,,,,,,,,"انبوبة اكريليك من مونت مارتي 75 مللي - 0039, رمادي نيوترال","انبوبة اكريليك من مونت مارتي 75 مللي - 0039, رمادي نيوترال",,,,,,,,,,,,,%%title%% %%page%% %%sep%% %%sitename%%
