ID,Type,SKU,,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Backorders allowed?,Sold individually?,Weight (g),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Sale price,Regular price,Categories,Tags,Images,
,simple,0929,,فانوس رمضان للتلوين 46سم,1,0,visible,فانوس رمضان للتلوين 46سم,فانوس رمضان للتلوين 46سم,taxable,1,0,0,,,,,1,,45,اشكال خشبية للتلوين -Wooden Forms,#Wooden-Forms,https://our-arts.com/wp-content/uploads/products/artcastle/wooden-forms/0929.jpg,
,simple,0930,,فانوس رمضان للتلوين 41سم,1,0,visible,فانوس رمضان للتلوين 41سم,فانوس رمضان للتلوين 41سم,taxable,1,0,0,,,,,1,,40,اشكال خشبية للتلوين -Wooden Forms,#Wooden-Forms,https://our-arts.com/wp-content/uploads/products/artcastle/wooden-forms/0930.jpg,
,simple,0932,,الوان مائية أطفال,1,0,visible,الوان مائية أطفال,الوان مائية أطفال,taxable,1,0,0,,,,,1,,5,اشكال خشبية للتلوين -Wooden Forms,#Wooden-Forms,https://our-arts.com/wp-content/uploads/products/artcastle/wooden-forms/0932.jpg,
,simple,0017,,الوان اكريليك مصرى ميتاليك AD,1,0,visible,الوان اكريليك مصرى ميتاليك AD,الوان اكريليك مصرى ميتاليك AD,taxable,1,0,0,,,,,1,,25,الوان - Colors,#colors,https://our-arts.com/wp-content/uploads/products/artcastle/colors/0017.jpg,
,simple,0019,,الوان اكريليك مصرى روش,1,0,visible,الوان اكريليك مصرى روش,الوان اكريليك مصرى روش,taxable,1,0,0,,,,,1,,15,الوان - Colors,#colors,https://our-arts.com/wp-content/uploads/products/artcastle/colors/0019.jpg,
,simple,0020,,الوان ديكورية ـ خيال,1,0,visible,الوان ديكورية ـ خيال,الوان ديكورية ـ خيال,taxable,1,0,0,,,,,1,,25,الوان - Colors,#colors,https://our-arts.com/wp-content/uploads/products/artcastle/colors/0020.jpg,
,simple,0021,,الوان ديكورية ـ فلاور,1,0,visible,الوان ديكورية ـ فلاور,الوان ديكورية ـ فلاور,taxable,1,0,0,,,,,1,,25,الوان - Colors,#colors,https://our-arts.com/wp-content/uploads/products/artcastle/colors/0021.jpg,
,simple,0024,,الوان ديكورية - سيناوى,1,0,visible,الوان ديكورية - سيناوى,الوان ديكورية - سيناوى,taxable,1,0,0,,,,,1,,25,الوان - Colors,#colors,https://our-arts.com/wp-content/uploads/products/artcastle/colors/0024.jpg,
,simple,0072,,الوان قماش فيفي كريل برطمان 100ملل,1,0,visible,الوان قماش فيفي كريل برطمان 100ملل,الوان قماش فيفي كريل برطمان 100ملل,taxable,1,0,0,,,,,1,,40,الوان - Colors,#colors,https://our-arts.com/wp-content/uploads/products/artcastle/colors/0072.jpg,
,simple,009940,,طقم تنقيط اكريليك-زجاج 8ق,1,0,visible,طقم تنقيط اكريليك-زجاج 8ق,طقم تنقيط اكريليك-زجاج 8ق,taxable,1,0,0,,,,,1,,75,الوان - Colors,#colors,https://our-arts.com/wp-content/uploads/products/artcastle/colors/009940.jpg,
,simple,0139,,الوان قورة 400 جم,1,0,visible,الوان قورة 400 جم,الوان قورة 400 جم,taxable,1,0,0,,,,,1,,10,الوان - Colors,#colors,https://our-arts.com/wp-content/uploads/products/artcastle/colors/0139.jpg,
